Locus	Uniprot ID	Gene Symbol	Protein Length	Spectrum Count_HBE_1	Spectrum Count_HBE_2	Spectrum Count_HBE_3	Spectrum Count_CFBE_1	Spectrum Count_CFBE_2	Spectrum Count_CFBE_3	HBE_Spectrum Count_Sum	CFBE_Spectrum Count_sum	NSAF_HBE_1	NSAF_HBE_2	NSAF_HBE_3	NSAF_CFBE_1	NSAF_CFBE_2	NSAF_CFBE_3	HBE_NSAF_avg	CFBE_NSAF_avg	CFBE_NSAF_avg/HBE_NSAF_avg	log2(CFBE_NSAF_avg/HBE_NSAF_avg)	p_value
sp|Q9UP83|COG5_HUMAN	Q9UP83	COG5	839	3	3	5	8	6	10	11	24	1,01806E-05	9,46465E-06	1,66443E-05	2,6835E-05	2,14069E-05	2,86318E-05	0,000012	0,000026	2,12	1,08	0,017255595
sp|P83436|COG7_HUMAN	P83436	COG7	770	5	7	7	6	9	11	19	26	1,84881E-05	2,40631E-05	2,53901E-05	2,19298E-05	3,49878E-05	3,43172E-05	0,000023	0,000030	1,34	0,43	0,194821614
sp|Q96MW5|COG8_HUMAN	Q96MW5	COG8	612	7	6	6	8	7	11	19	26	3,25657E-05	2,59505E-05	2,73814E-05	3,67885E-05	3,42383E-05	4,31769E-05	0,000029	0,000038	1,33	0,41	0,042445513
sp|Q9Y5P4|C43BP_HUMAN	Q9Y5P4	COL4A3BP	624	11	13	8	14	6	15	32	35	5,01905E-05	5,51447E-05	3,58065E-05	6,31419E-05	2,87827E-05	5,77453E-05	0,000047	0,000050	1,06	0,08	0,949049063
sp|Q02388|CO7A1_HUMAN	Q02388	COL7A1	2944	5	3	2	4	3	2	10	9	4,83555E-06	2,6973E-06	1,89736E-06	3,82381E-06	3,05034E-06	1,63193E-06	0,000003	0,000003	0,90	-0,15	0,826181923
sp|Q8NBJ5|GT251_HUMAN	Q8NBJ5	COLGALT1	622	5	6	4	16	12	15	15	43	2,28872E-05	2,55332E-05	1,79608E-05	7,23942E-05	5,77505E-05	5,7931E-05	0,000022	0,000063	2,83	1,50	0,001222362
sp|Q9H0A8|COMD4_HUMAN	Q9H0A8	COMMD4	199	6	4	4	7	7	7	14	21	8,58443E-05	5,32049E-05	5,61388E-05	9,89963E-05	0,000105296	8,44996E-05	0,000065	0,000096	1,48	0,57	0,067140993
sp|Q9GZQ3|COMD5_HUMAN	Q9GZQ3	COMMD5	224	8	3	11	5	3	9	22	17	0,000101685	3,54502E-05	0,000137152	6,28197E-05	4,00902E-05	9,65171E-05	0,000091	0,000066	0,73	-0,46	0,649405417
sp|Q9NX08|COMD8_HUMAN	Q9NX08	COMMD8	183	6	2	5	3	2	5	13	10	9,33499E-05	2,89284E-05	7,63089E-05	4,61364E-05	3,27148E-05	6,5634E-05	0,000066	0,000048	0,73	-0,46	0,586842558
sp|Q9P000|COMD9_HUMAN	Q9P000	COMMD9	198	2	7	4	2	9	6	13	17	2,87593E-05	9,35789E-05	5,64224E-05	2,84275E-05	0,000136064	7,27941E-05	0,000060	0,000079	1,33	0,41	0,735879552
sp|P21964|COMT_HUMAN	P21964	COMT	271	25	27	26	11	10	13	78	34	0,000262654	0,000263718	0,000267954	0,000114235	0,000110458	0,000115235	0,000265	0,000113	0,43	-1,22	4,79023E-07
sp|Q86VU5|CMTD1_HUMAN	Q86VU5	COMTD1	262	6	6	3	2	5	2	15	9	6,52024E-05	6,06171E-05	3,19799E-05	2,14834E-05	5,7126E-05	1,83374E-05	0,000053	0,000032	0,61	-0,70	0,243854729
sp|P53621|COPA_HUMAN	P53621	COPA	1224	121	91	114	105	74	130	326	309	0,000281461	0,000196791	0,000260124	0,000241425	0,000180974	0,000255136	0,000246	0,000226	0,92	-0,12	0,603822466
sp|P53618|COPB_HUMAN	P53618	COPB1	953	80	53	63	54	68	83	196	205	0,000239007	0,000147207	0,000184631	0,000159468	0,00021359	0,000209216	0,000190	0,000194	1,02	0,03	0,863761313
sp|P35606|COPB2_HUMAN	P35606	COPB2	906	69	72	55	57	55	65	196	177	0,000216838	0,000210353	0,000169547	0,00017706	0,000181719	0,000172344	0,000199	0,000177	0,89	-0,17	0,232830517
sp|O14579|COPE_HUMAN	O14579	COPE	308	141	62	56	59	31	94	259	184	0,001303413	0,000532827	0,000507801	0,000539107	0,000301284	0,00073314	0,000781	0,000525	0,67	-0,57	0,419327548
sp|Q9Y678|COPG1_HUMAN	Q9Y678	COPG1	874	95	75	81	95	77	122	251	294	0,000309475	0,000227141	0,000258839	0,000305905	0,000263721	0,000335319	0,000265	0,000302	1,14	0,19	0,309685502
sp|Q9UBF2|COPG2_HUMAN	Q9UBF2	COPG2	871	25	25	25	27	42	39	75	108	8,17213E-05	7,59743E-05	8,01638E-05	8,72408E-05	0,000144343	0,000107561	0,000079	0,000113	1,43	0,51	0,086677914
sp|P61201|CSN2_HUMAN	P61201	COPS2	443	33	32	30	34	35	29	95	98	0,000212092	0,000191202	0,000189136	0,000215998	0,000236499	0,000157255	0,000197	0,000203	1,03	0,04	0,910593089
sp|Q9UNS2|CSN3_HUMAN	Q9UNS2	COPS3	423	23	15	12	19	16	16	50	51	0,000154811	9,38633E-05	7,92314E-05	0,000126412	0,000113226	9,08635E-05	0,000109	0,000110	1,01	0,01	0,864476425
sp|Q9BT78|CSN4_HUMAN	Q9BT78	COPS4	406	22	18	21	17	23	23	61	63	0,00015428	0,000117352	0,000144461	0,000117841	0,000169577	0,000136085	0,000139	0,000141	1,02	0,03	0,92752482
sp|Q92905|CSN5_HUMAN	Q92905	COPS5	334	10	14	9	19	11	16	33	46	8,52446E-05	0,00011095	7,5258E-05	0,000160096	9,85851E-05	0,000115076	0,000090	0,000125	1,38	0,46	0,163383516
sp|Q7L5N1|CSN6_HUMAN	Q7L5N1	COPS6	327	19	18	20	20	25	20	57	65	0,000165432	0,000145703	0,00017082	0,00017213	0,000228853	0,000146924	0,000161	0,000183	1,14	0,19	0,4583787
sp|Q9UBW8|CSN7A_HUMAN	Q9UBW8	COPS7A	275	4	6	9	8	16	10	19	34	4,14134E-05	5,77516E-05	9,14042E-05	8,18712E-05	0,000174162	8,73529E-05	0,000064	0,000114	1,80	0,85	0,156693694
sp|Q9H9Q2|CSN7B_HUMAN	Q9H9Q2	COPS7B	264	4	4	6	5	2	2	14	9	4,3139E-05	4,01052E-05	6,34752E-05	5,33016E-05	2,26773E-05	1,81985E-05	0,000049	0,000031	0,64	-0,64	0,208060406
sp|Q99627|CSN8_HUMAN	Q99627	COPS8	209	19	31	18	25	29	34	68	88	0,000258834	0,000392609	0,000240537	0,000336641	0,000415353	0,000390789	0,000297	0,000381	1,28	0,36	0,179128819
sp|P61923|COPZ1_HUMAN	P61923	COPZ1	177	5	20	21	14	19	21	46	54	8,04286E-05	0,00029909	0,000331362	0,000222602	0,000321326	0,000285007	0,000237	0,000276	1,17	0,22	0,540608806
sp|P31146|COR1A_HUMAN	P31146	CORO1A	461	4	3	5	6	10	8	12	24	2,47043E-05	1,72252E-05	3,02918E-05	3,66289E-05	6,49328E-05	4,16868E-05	0,000024	0,000048	1,98	0,99	0,046808077
sp|Q9BR76|COR1B_HUMAN	Q9BR76	CORO1B	489	55	24	35	35	55	36	114	126	0,000320234	0,000129911	0,000199901	0,000201434	0,000336681	0,000176849	0,000217	0,000238	1,10	0,14	0,727382502
sp|Q9ULV4|COR1C_HUMAN	Q9ULV4	CORO1C	474	15	12	12	10	39	17	39	66	9,01003E-05	6,70113E-05	7,07065E-05	5,93739E-05	0,000246293	8,6155E-05	0,000076	0,000131	1,72	0,78	0,454127626
sp|P57737|CORO7_HUMAN	P57737	CORO7	925	11	4	10	4	6	5	25	15	3,38582E-05	1,14463E-05	3,01936E-05	1,217E-05	1,94167E-05	1,29849E-05	0,000025	0,000015	0,59	-0,76	0,298509335
sp|Q14019|COTL1_HUMAN	Q14019	COTL1	142	72	199	83	56	138	45	354	239	0,001443636	0,003709453	0,001632474	0,001109874	0,002909081	0,000761262	0,002262	0,001593	0,70	-0,51	0,442769437
sp|P13073|COX41_HUMAN	P13073	COX4I1	169	9	12	7	7	8	12	28	27	0,000151624	0,000187949	0,000115683	0,00011657	0,0001417	0,000170571	0,000152	0,000143	0,94	-0,09	0,783628042
sp|P20674|COX5A_HUMAN	P20674	COX5A	150	20	11	18	16	26	22	49	64	0,000379623	0,000194109	0,000335149	0,000300194	0,000518856	0,000352323	0,000303	0,000390	1,29	0,37	0,367688502
sp|P10606|COX5B_HUMAN	P10606	COX5B	129	9	11	9	10	6	9	29	25	0,00019864	0,000225709	0,000194854	0,000218165	0,000139228	0,000167596	0,000206	0,000175	0,85	-0,24	0,262727797
sp|P14854|CX6B1_HUMAN	P14854	COX6B1	86	13	16	11	12	15	14	40	41	0,000430386	0,000492455	0,000357232	0,000392696	0,000522105	0,000391056	0,000427	0,000435	1,02	0,03	0,893145382
sp|P09669|COX6C_HUMAN	P09669	COX6C	75	6	3	8	3	4	5	17	12	0,000227774	0,000105878	0,00029791	0,000112573	0,000159648	0,000160147	0,000211	0,000144	0,68	-0,55	0,409432559
sp|Q99829|CPNE1_HUMAN	Q99829	CPNE1	537	49	35	38	43	18	26	122	87	0,000259798	0,00017252	0,000197636	0,000225355	0,000100338	0,000116308	0,000210	0,000147	0,70	-0,51	0,21687127
sp|O75131|CPNE3_HUMAN	O75131	CPNE3	537	35	40	42	21	21	28	117	70	0,00018557	0,000197165	0,00021844	0,000110057	0,00011706	0,000125255	0,000200	0,000117	0,59	-0,77	0,000913762
sp|P36551|HEM6_HUMAN	P36551	CPOX	454	4	7	8	9	18	7	19	34	2,50852E-05	4,08119E-05	4,92142E-05	5,57905E-05	0,000118681	3,70384E-05	0,000038	0,000071	1,84	0,88	0,253437686
sp|Q9BRF8|CPPED_HUMAN	Q9BRF8	CPPED1	314	4	8	2	12	20	9	14	41	3,62697E-05	6,74381E-05	1,77892E-05	0,000107554	0,000190663	6,8853E-05	0,000040	0,000122	3,02	1,60	0,074999139
sp|Q10570|CPSF1_HUMAN	Q10570	CPSF1	1443	8	3	3	4	2	10	14	16	1,57847E-05	5,50301E-06	5,80646E-06	7,80131E-06	4,14886E-06	1,66473E-05	0,000009	0,000010	1,06	0,08	0,968727943
sp|Q9P2I0|CPSF2_HUMAN	Q9P2I0	CPSF2	782	7	9	2	3	7	6	18	16	2,54862E-05	3,04636E-05	7,14299E-06	1,07966E-05	2,67952E-05	1,84312E-05	0,000021	0,000019	0,89	-0,17	0,981373163
sp|Q9UKF6|CPSF3_HUMAN	Q9UKF6	CPSF3	684	20	25	19	22	13	24	64	59	8,32506E-05	9,67451E-05	7,75808E-05	9,05192E-05	5,68922E-05	8,42879E-05	0,000086	0,000077	0,90	-0,15	0,486012704
sp|Q5TA45|INT11_HUMAN	Q5TA45	CPSF3L	600	2	3	2	2	3	2	7	7	9,49057E-06	1,32347E-05	9,30969E-06	9,38108E-06	1,4967E-05	8,00735E-06	0,000011	0,000011	1,01	0,01	0,955327896
sp|Q16630|CPSF6_HUMAN	Q16630	CPSF6	551	37	20	35	23	24	32	92	79	0,000191189	9,60779E-05	0,000177408	0,000117476	0,000130384	0,000139511	0,000155	0,000129	0,83	-0,26	0,563468959
sp|Q8N684|CPSF7_HUMAN	Q8N684	CPSF7	471	18	24	13	22	25	27	55	74	0,000108809	0,000134876	7,70866E-05	0,000131455	0,000158885	0,000137706	0,000107	0,000143	1,33	0,42	0,145949306
sp|P50416|CPT1A_HUMAN	P50416	CPT1A	773	18	11	10	21	29	22	39	72	6,62989E-05	3,76668E-05	3,61308E-05	7,64564E-05	0,000112301	6,8368E-05	0,000047	0,000086	1,84	0,88	0,064719969
sp|P23786|CPT2_HUMAN	P23786	CPT2	658	13	16	15	7	8	11	44	26	5,62511E-05	6,43634E-05	6,36681E-05	2,99396E-05	3,6394E-05	4,01584E-05	0,000061	0,000035	0,58	-0,79	0,004566022
sp|Q9H3G5|CPVL_HUMAN	Q9H3G5	CPVL	476	3	7	7	10	31	16	17	57	1,79444E-05	3,89257E-05	4,10722E-05	5,91244E-05	0,000194948	8,07463E-05	0,000033	0,000112	3,42	1,77	0,060138495
sp|Q6UXH1|CREL2_HUMAN	Q6UXH1	CRELD2	353	5	6	6	5	10	12	17	27	4,03282E-05	4,49906E-05	4,74715E-05	3,98629E-05	8,47989E-05	8,16613E-05	0,000044	0,000069	1,55	0,64	0,19571036
sp|P46108|CRK_HUMAN	P46108	CRK	304	7	9	3	9	24	6	19	39	6,55599E-05	7,83635E-05	2,75616E-05	8,33188E-05	0,000236321	4,74119E-05	0,000057	0,000122	2,14	1,10	0,332368156
sp|P46109|CRKL_HUMAN	P46109	CRKL	303	27	16	20	13	22	16	63	51	0,000253708	0,000139773	0,00018435	0,000120747	0,000217343	0,000126849	0,000193	0,000155	0,80	-0,31	0,427764043
sp|Q9BZJ0|CRNL1_HUMAN	Q9BZJ0	CRNKL1	848	4	5	7	2	3	3	16	8	1,34301E-05	1,5607E-05	2,30547E-05	6,63755E-06	1,05899E-05	8,49836E-06	0,000017	0,000009	0,49	-1,02	0,029463968
sp|Q08257|QOR_HUMAN	Q08257	CRYZ	329	11	13	7	15	17	11	31	43	9,51942E-05	0,000104591	5,94236E-05	0,000128313	0,000154674	8,03168E-05	0,000086	0,000121	1,40	0,49	0,275666188
sp|O75390|CISY_HUMAN	O75390	CS	466	110	48	62	60	45	76	220	181	0,000672079	0,000272647	0,000371589	0,000362359	0,000289062	0,000391776	0,000439	0,000348	0,79	-0,34	0,57905705
sp|O75534|CSDE1_HUMAN	O75534	CSDE1	798	21	11	13	12	17	21	45	50	7,49255E-05	3,64867E-05	4,54985E-05	4,23206E-05	6,37692E-05	6,32159E-05	0,000052	0,000056	1,08	0,11	0,697611624
sp|P55060|XPO2_HUMAN	P55060	CSE1L	971	295	253	330	287	289	315	878	891	0,000865	0,000689678	0,000949186	0,000831834	0,00089093	0,000779294	0,000835	0,000834	1,00	0,00	0,951888743
sp|P41240|CSK_HUMAN	P41240	CSK	450	3	4	2	3	8	5	9	16	1,89811E-05	2,35284E-05	1,24129E-05	1,87622E-05	5,3216E-05	2,66912E-05	0,000018	0,000033	1,80	0,85	0,218842696
sp|P48729|KC1A_HUMAN	P48729	CSNK1A1	337	7	12	16	19	26	24	35	69	5,914E-05	9,42533E-05	0,000132601	0,000158671	0,000230945	0,000171077	0,000095	0,000187	1,96	0,97	0,052189075
sp|P68400|CSK21_HUMAN	P68400	CSNK2A1	391	51	42	44	49	71	79	137	199	0,00037137	0,000284327	0,000314291	0,00035269	0,000543559	0,000485356	0,000323	0,000461	1,42	0,51	0,085349483
sp|P19784|CSK22_HUMAN	P19784	CSNK2A2	350	15	18	23	17	36	25	56	78	0,000122022	0,000136129	0,000183534	0,000136696	0,000307893	0,000171586	0,000147	0,000205	1,40	0,48	0,348405877
sp|P67870|CSK2B_HUMAN	P67870	CSNK2B	215	16	44	40	59	25	56	100	140	0,000211882	0,000541701	0,000519611	0,000772303	0,00034807	0,00062569	0,000424	0,000582	1,37	0,46	0,42350046
sp|P21291|CSRP1_HUMAN	P21291	CSRP1	193	44	19	26	32	43	27	89	102	0,000649096	0,00026058	0,000376247	0,000466623	0,000666924	0,00033606	0,000429	0,000490	1,14	0,19	0,643023451
sp|P01034|CYTC_HUMAN	P01034	CST3	146	7	4	2	2	10	3	13	15	0,000136508	7,25191E-05	3,8259E-05	3,85524E-05	0,000205028	4,93604E-05	0,000082	0,000098	1,18	0,24	0,988349561
sp|P04080|CYTB_HUMAN	P04080	CSTB	98	20	15	23	23	33	21	58	77	0,000581055	0,000405145	0,000655478	0,000660504	0,001007982	0,000514758	0,000547	0,000728	1,33	0,41	0,336304777
sp|Q05048|CSTF1_HUMAN	Q05048	CSTF1	431	10	7	7	9	6	9	24	24	6,60596E-05	4,29898E-05	4,53604E-05	5,87678E-05	4,16715E-05	5,0162E-05	0,000051	0,000050	0,98	-0,04	0,929341791
sp|P33240|CSTF2_HUMAN	P33240	CSTF2	577	14	18	10	8	24	18	42	50	6,90821E-05	8,25737E-05	4,84039E-05	3,90201E-05	0,000124509	7,49388E-05	0,000067	0,000079	1,19	0,25	0,815856573
sp|Q12996|CSTF3_HUMAN	Q12996	CSTF3	717	11	16	12	20	16	26	39	62	4,36804E-05	5,90671E-05	4,67432E-05	7,85027E-05	6,67984E-05	8,71092E-05	0,000050	0,000077	1,55	0,64	0,02066572
sp|O15320|CTGE5_HUMAN	O15320	CTAGE5	804	6	7	6	4	13	7	19	24	2,12475E-05	2,30456E-05	2,08426E-05	1,40016E-05	4,84008E-05	2,09147E-05	0,000022	0,000028	1,28	0,36	0,780160353
sp|Q13363|CTBP1_HUMAN	Q13363	CTBP1	440	19	15	15	17	27	19	49	63	0,000122946	9,02368E-05	9,52127E-05	0,000108735	0,000183686	0,000103732	0,000103	0,000132	1,28	0,36	0,337987274
sp|P56545|CTBP2_HUMAN	P56545	CTBP2	445	26	20	20	20	40	21	66	81	0,000166352	0,000118964	0,000125524	0,000126486	0,00026907	0,000113362	0,000137	0,000170	1,24	0,31	0,640468031
sp|P49711|CTCF_HUMAN	P49711	CTCF	727	9	6	10	5	4	14	25	23	3,5247E-05	2,18455E-05	3,84169E-05	1,93557E-05	1,64699E-05	4,62598E-05	0,000032	0,000027	0,86	-0,22	0,560204338
sp|P35221|CTNA1_HUMAN	P35221	CTNNA1	906	120	112	121	121	156	119	353	396	0,000377109	0,000327216	0,000373004	0,000375864	0,00051542	0,000315521	0,000359	0,000402	1,12	0,16	0,564277437
sp|P35222|CTNB1_HUMAN	P35222	CTNNB1	781	60	85	91	77	103	88	236	268	0,000218733	0,00028808	0,000325422	0,000277468	0,000394777	0,000270671	0,000277	0,000314	1,13	0,18	0,508054256
sp|Q8WYA6|CTBL1_HUMAN	Q8WYA6	CTNNBL1	563	8	13	16	16	18	21	37	55	4,04571E-05	6,11195E-05	7,93721E-05	7,99808E-05	9,57038E-05	8,96026E-05	0,000060	0,000088	1,47	0,55	0,109188923
sp|O60716|CTND1_HUMAN	O60716	CTNND1	968	83	119	107	136	133	145	309	414	0,000244127	0,000325399	0,00030872	0,000395401	0,000411284	0,000359834	0,000293	0,000389	1,33	0,41	0,040182096
sp|P17812|PYRG1_HUMAN	P17812	CTPS1	591	48	54	47	42	52	43	149	137	0,000231242	0,000241853	0,000222109	0,000200003	0,000263379	0,00017478	0,000232	0,000213	0,92	-0,12	0,463011526
sp|Q9NRF8|PYRG2_HUMAN	Q9NRF8	CTPS2	586	6	13	13	12	16	13	32	41	2,91519E-05	5,87207E-05	6,19587E-05	5,76312E-05	8,17311E-05	5,32912E-05	0,000050	0,000064	1,29	0,36	0,357137597
sp|Q6PD62|CTR9_HUMAN	Q6PD62	CTR9	1173	4	16	3	11	12	20	23	43	9,70902E-06	3,6105E-05	7,14299E-06	2,63918E-05	3,0623E-05	4,09583E-05	0,000018	0,000033	1,85	0,89	0,168996974
sp|P10619|PPGB_HUMAN	P10619	CTSA	480	13	15	8	19	15	18	36	52	7,71109E-05	8,27171E-05	4,65485E-05	0,0001114	9,35438E-05	9,00826E-05	0,000069	0,000098	1,43	0,52	0,117068082
sp|P07858|CATB_HUMAN	P07858	CTSB	339	6	8	11	14	20	26	25	60	5,03924E-05	6,24648E-05	9,06253E-05	0,000116226	0,000176602	0,00018424	0,000068	0,000159	2,34	1,23	0,018866563
sp|P07339|CATD_HUMAN	P07339	CTSD	412	30	23	30	27	30	45	83	102	0,000207318	0,000147766	0,000203367	0,000184434	0,000217966	0,000262377	0,000186	0,000222	1,19	0,25	0,306210485
sp|Q9UBR2|CATZ_HUMAN	Q9UBR2	CTSZ	303	24	20	15	20	10	18	59	48	0,000225518	0,000174716	0,000138263	0,000185764	9,87922E-05	0,000142705	0,000179	0,000142	0,79	-0,33	0,350665688
sp|Q14247|SRC8_HUMAN	Q14247	CTTN	550	17	22	19	17	24	21	58	62	8,80035E-05	0,000105878	9,64822E-05	8,69882E-05	0,000130621	9,17205E-05	0,000097	0,000103	1,07	0,09	0,739693846
sp|Q9P2B4|CT2NL_HUMAN	Q9P2B4	CTTNBP2NL	639	3	3	5	4	4	7	11	15	1,3367E-05	1,2427E-05	2,18537E-05	1,7617E-05	1,8738E-05	2,63152E-05	0,000016	0,000021	1,32	0,40	0,250784883
sp|Q13616|CUL1_HUMAN	Q13616	CUL1	776	16	16	17	13	8	18	49	39	5,87046E-05	5,45762E-05	6,11848E-05	4,71472E-05	3,08598E-05	5,57212E-05	0,000058	0,000045	0,77	-0,38	0,175503823
sp|Q13617|CUL2_HUMAN	Q13617	CUL2	745	12	9	13	9	15	14	34	38	4,58605E-05	3,19765E-05	4,87353E-05	3,39985E-05	6,02698E-05	4,51421E-05	0,000042	0,000046	1,10	0,14	0,70477506
sp|Q13618|CUL3_HUMAN	Q13618	CUL3	768	9	11	13	11	29	21	33	61	3,33653E-05	3,7912E-05	4,72758E-05	4,03093E-05	0,000113032	6,56853E-05	0,000040	0,000073	1,85	0,89	0,163265037
sp|Q13619|CUL4A_HUMAN	Q13619	CUL4A	759	19	31	25	18	22	23	75	63	7,12731E-05	0,00010811	9,1993E-05	6,67428E-05	8,67653E-05	7,27941E-05	0,000090	0,000075	0,83	-0,26	0,294591749
sp|Q13620|CUL4B_HUMAN	Q13620	CUL4B	913	18	29	25	19	33	25	72	77	5,61326E-05	8,40761E-05	7,64761E-05	5,85675E-05	0,000108195	6,57778E-05	0,000072	0,000078	1,07	0,10	0,841040525
sp|Q93034|CUL5_HUMAN	Q93034	CUL5	780	4	5	5	9	12	9	14	30	1,46009E-05	1,69676E-05	1,79033E-05	3,2473E-05	4,60523E-05	2,77177E-05	0,000016	0,000035	2,15	1,10	0,010024567
sp|O60888|CUTA_HUMAN	O60888	CUTA	179	11	19	28	21	20	28	58	69	0,000174966	0,000280961	0,000436879	0,000330172	0,000334458	0,000375764	0,000298	0,000347	1,17	0,22	0,457737803
sp|P39880|CUX1_HUMAN	P39880	CUX1	1505	7	7	8	7	15	11	22	33	1,32427E-05	1,23114E-05	1,4846E-05	1,30899E-05	2,98346E-05	1,75576E-05	0,000013	0,000020	1,50	0,58	0,232874445
sp|Q9P013|CWC15_HUMAN	Q9P013	CWC15	229	5	4	2	4	3	5	11	12	6,21653E-05	4,62349E-05	2,43922E-05	4,91585E-05	3,92149E-05	5,24499E-05	0,000044	0,000047	1,06	0,08	0,695267204
sp|Q6UX04|CWC27_HUMAN	Q6UX04	CWC27	472	4	4	9	7	9	9	17	25	2,41286E-05	2,24317E-05	5,32546E-05	4,17378E-05	5,70776E-05	4,58047E-05	0,000033	0,000048	1,45	0,53	0,203206308
sp|Q69YN2|C19L1_HUMAN	Q69YN2	CWF19L1	538	11	8	11	4	11	7	30	22	5,82135E-05	3,93598E-05	5,7104E-05	2,09243E-05	6,12034E-05	3,12554E-05	0,000052	0,000038	0,73	-0,45	0,307669632
sp|P00167|CYB5_HUMAN	P00167	CYB5A	134	2	2	3	5	4	3	7	12	4,24951E-05	3,95067E-05	6,25278E-05	0,000105012	8,93553E-05	5,37807E-05	0,000048	0,000083	1,72	0,78	0,101323463
sp|O43169|CYB5B_HUMAN	O43169	CYB5B	146	18	20	26	22	39	27	64	88	0,000351021	0,000362595	0,000497367	0,000424076	0,000799608	0,000444243	0,000404	0,000556	1,38	0,46	0,28160216
sp|Q9UHQ9|NB5R1_HUMAN	Q9UHQ9	CYB5R1	305	9	6	8	13	12	11	23	36	8,40149E-05	5,20711E-05	7,32566E-05	0,000119955	0,000117773	8,66369E-05	0,000070	0,000108	1,55	0,63	0,065218179
sp|P00387|NB5R3_HUMAN	P00387	CYB5R3	301	33	37	22	24	16	37	92	77	0,000312148	0,000325372	0,000204133	0,000224398	0,000159118	0,000295288	0,000281	0,000226	0,81	-0,31	0,387711257
sp|P08574|CY1_HUMAN	P08574	CYC1	325	15	13	18	16	9	28	46	53	0,000131408	0,000105878	0,000154684	0,000138551	8,28942E-05	0,000206959	0,000131	0,000143	1,09	0,13	0,913592069
sp|P99999|CYC_HUMAN	P99999	CYCS	105	26	32	33	26	20	25	91	71	0,000705014	0,000806688	0,000877771	0,00069688	0,000570172	0,000571953	0,000796	0,000613	0,77	-0,38	0,046458786
sp|Q7L576|CYFP1_HUMAN	Q7L576	CYFIP1	1253	23	28	34	31	29	34	85	94	5,22625E-05	5,91496E-05	7,57852E-05	6,96281E-05	6,92807E-05	6,51835E-05	0,000062	0,000068	1,09	0,12	0,427861187
sp|Q16850|CP51A_HUMAN	Q16850	CYP51A1	503	3	5	6	4	4	9	14	17	1,69811E-05	2,63116E-05	3,3315E-05	2,23803E-05	2,38044E-05	4,29818E-05	0,000026	0,000030	1,16	0,22	0,642937536
sp|O00622|CYR61_HUMAN	O00622	CYR61	381	40	29	34	25	21	31	103	77	0,000298916	0,000201474	0,000249236	0,000184667	0,000164991	0,000195455	0,000250	0,000182	0,73	-0,46	0,06842456
sp|Q8NCG7|DGLB_HUMAN	Q8NCG7	DAGLB	672	10	11	9	7	4	14	30	25	4,23686E-05	4,3328E-05	3,7405E-05	2,93159E-05	1,78179E-05	5,00459E-05	0,000041	0,000032	0,79	-0,34	0,346055915
sp|P51397|DAP1_HUMAN	P51397	DAP	102	12	12	23	20	5	19	47	44	0,000334961	0,000311405	0,000629773	0,000551828	0,000146735	0,000447469	0,000425	0,000382	0,90	-0,16	0,69348792
sp|P51398|RT29_HUMAN	P51398	DAP3	398	8	6	7	8	5	4	21	17	5,72296E-05	3,99037E-05	4,91215E-05	5,65693E-05	3,76056E-05	2,41428E-05	0,000049	0,000039	0,81	-0,31	0,384877728
sp|P14868|SYDC_HUMAN	P14868	DARS	501	34	33	24	37	32	30	91	99	0,000193221	0,00017435	0,000133792	0,000207844	0,000191195	0,000143845	0,000167	0,000181	1,08	0,11	0,63875626
sp|Q6PI48|SYDM_HUMAN	Q6PI48	DARS2	645	13	19	13	8	8	8	45	24	5,73848E-05	7,79721E-05	5,62912E-05	3,49063E-05	3,71275E-05	2,97948E-05	0,000064	0,000034	0,53	-0,91	0,00732411
sp|Q9UER7|DAXX_HUMAN	Q9UER7	DAXX	740	6	5	3	4	3	6	14	13	2,30852E-05	1,78848E-05	1,13226E-05	1,52126E-05	1,21354E-05	1,94773E-05	0,000017	0,000016	0,90	-0,16	0,743244604
sp|Q96EP5|DAZP1_HUMAN	Q96EP5	DAZAP1	407	11	9	11	8	11	9	31	28	7,69506E-05	5,8532E-05	7,5484E-05	5,53184E-05	8,09028E-05	5,312E-05	0,000070	0,000063	0,90	-0,16	0,498477789
sp|P07108|ACBP_HUMAN	P07108	DBI	87	21	21	16	11	17	19	58	47	0,000687248	0,000638918	0,000513638	0,000355834	0,000584918	0,000524619	0,000613	0,000488	0,80	-0,33	0,237820847
sp|Q16643|DREB_HUMAN	Q16643	DBN1	649	11	9	7	4	13	9	27	26	4,82571E-05	3,67065E-05	3,01238E-05	1,73456E-05	5,99603E-05	3,33125E-05	0,000038	0,000037	0,96	-0,06	0,726369455
sp|Q9UJU6|DBNL_HUMAN	Q9UJU6	DBNL	430	32	29	32	42	37	39	93	118	0,000211882	0,000178515	0,000207844	0,000274887	0,000257572	0,000217874	0,000199	0,000250	1,25	0,33	0,062934311
sp|Q9UK59|DBR1_HUMAN	Q9UK59	DBR1	544	5	8	10	7	2	10	23	19	2,61688E-05	3,89257E-05	5,13402E-05	3,62137E-05	1,10052E-05	4,41582E-05	0,000039	0,000030	0,78	-0,35	0,488074184
sp|Q96C86|DCPS_HUMAN	Q96C86	DCPS	337	29	15	34	42	13	39	78	94	0,000245009	0,000117817	0,000281777	0,000350746	0,000115473	0,000278	0,000215	0,000248	1,15	0,21	0,814705
