Symbol	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway	CFTR_interactor	dorothea_tf	receptor_ligand	receptor
NAMPT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NCK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
NEK7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NFATC1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	NA	NA	TRUE	FALSE	FALSE
NFKB1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	10	NA	NA	TRUE	FALSE	FALSE
NFKB2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	NA	TRUE	FALSE	FALSE
NFKBIA	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	10	NA	NA	FALSE	FALSE	FALSE
NLRC4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NLRP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NLRP12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NLRP3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
NLRP6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NLRP7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NLRX1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
NOD1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NOD2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
NOS3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
OPRM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE
OTUD5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
PAK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
PAK3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
PAN3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
PDCD1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
PDPK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
PFN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
PGAM5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
PIK3CA	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	7	NA	NA	FALSE	FALSE	FALSE
PIKFYVE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
PIN1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	TRUE	FALSE	FALSE
PKN1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
PLCB1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	NA	FALSE	FALSE	FALSE	FALSE
PLCB3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	NA	FALSE	FALSE	FALSE	FALSE
PLCG1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
PLCG2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
PLK3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
POMC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
PPP1R12A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
PPP3CA	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	NA	NA	FALSE	FALSE	FALSE
PRKACA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	TRUE	FALSE	FALSE	FALSE
PRKCB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	NA	FALSE	FALSE	FALSE
PRKCD	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
PRKCE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
PRKCQ	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
PSTPIP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
PTPN6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	TRUE
PTPRC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	TRUE
PXN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
PYCARD	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
PYDC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
PYDC2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
PYDC5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
RAC1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	FALSE
RAF1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
RASGRP1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
RBCK1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
RELA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	TRUE	FALSE	FALSE
RELB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	TRUE	FALSE	FALSE
RHOA	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
RIGI	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
RIPK1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE
RIPK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
RIPK3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	NA	NA	FALSE	FALSE	FALSE
RNASEL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
RNF125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
ROCK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
RPS6KA4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
RRAS2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
SHC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
SIKE1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
SLC9A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
SLC9A3R1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
SLC9A3R2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
SLK	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
SMAD2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	FALSE
SOCS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
SOS1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
SPATA13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
SPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	TRUE	FALSE
SRC	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	NA	FALSE	FALSE	FALSE	FALSE
SSH1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
STAT1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	5	NA	NA	TRUE	FALSE	FALSE
STAT3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE
STAT5A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE
STAT6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	TRUE	FALSE	FALSE
STING1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
SUGT1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
SYK	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	TRUE	FALSE	FALSE	FALSE
TAB1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE
TAB2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TANK	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
TBK1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	4	NA	NA	FALSE	FALSE	FALSE
TGFB1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	NA	FALSE	TRUE	FALSE
TGFBR1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	NA	FALSE	FALSE	TRUE
TIAM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
TICAM1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE
TICAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TKFC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TLR2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TLR3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TLR4	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	TRUE
TLR5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TLR6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TLR7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TLR9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
TNF	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	10	NA	NA	FALSE	TRUE	FALSE
TNFAIP3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TNFRSF11A	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	TRUE
TNFRSF1A	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	5	NA	NA	FALSE	FALSE	TRUE
TNFRSF1B	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	NA	NA	FALSE	FALSE	TRUE
TNFSF11	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	NA	FALSE	TRUE	FALSE
TP53BP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TRADD	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	NA	TRUE	FALSE	FALSE	FALSE
TRAF2	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	5	NA	NA	FALSE	FALSE	TRUE
TRAF3	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	4	NA	NA	FALSE	FALSE	TRUE
TRAF3IP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	FALSE
TRAF4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	TRUE
TRAF6	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	5	NA	NA	FALSE	FALSE	TRUE
TRIM25	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
TRIP6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TXN2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TXNIP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TYK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
TYROBP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
USP21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	FALSE
USP25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	FALSE
VAV1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
VCL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
WASF2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
WASL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
XIAP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
ZAP70	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
ZBP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytosolic DNA-sensing pathway	NA	FALSE	FALSE	FALSE
